[ 0.925  0.075]
[ 0.9515  0.0485]
[ 0.05379245  0.94620755]
[ 0.824  0.176]
[ 0.44525  0.55475]
[ 0.875  0.125]
[ 0.05263158  0.94736842]
[ 0.  1.]
[ 0.8  0.2]
[ 0.04735376  0.95264624]
[ 0.761  0.239]
[ 0.34891667  0.65108333]
[ 0.336125  0.663875]
[ 0.649  0.351]
[ 0.80825  0.19175]
[ 0.7435  0.2565]
[ 0.5625  0.4375]
[ 0.578  0.422]
[ 0.9505  0.0495]
[ 0.708  0.292]
[ 0.8335  0.1665]
[ 0.6335  0.3665]
[ 0.5825  0.4175]
[ 0.625  0.375]
[ 0.848  0.152]
[ 0.10526316  0.89473684]
[ 0.503  0.497]
[ 0.8525  0.1475]
[ 0.481  0.519]
[ 0.  1.]
[ 0.89225  0.10775]
[ 0.9155  0.0845]
[ 0.612  0.388]
[ 0.881  0.119]
[ 0.83  0.17]
[ 0.9275  0.0725]
[ 0.14940476  0.85059524]
[ 0.403  0.597]
[ 0.03263509  0.96736491]
[ 0.3105  0.6895]
[ 0.7235  0.2765]
[ 0.22571212  0.77428788]
[ 0.2005  0.7995]
[ 0.72  0.28]
[ 0.  1.]
[ 0.512  0.488]
[ 0.5105  0.4895]
[ 0.32775  0.67225]
[ 0.951  0.049]
[ 0.35  0.65]
[ 0.5675  0.4325]
[ 0.6895  0.3105]
[ 0.2935  0.7065]
[ 0.843  0.157]
[ 0.70125  0.29875]
[ 0.482  0.518]
[ 0.5915  0.4085]
[ 0.5505  0.4495]
[ 0.12079545  0.87920455]
[ 0.04945055  0.95054945]
[ 0.8765  0.1235]
[ 0.18444048  0.81555952]
[ 0.7545  0.2455]
[ 0.05379245  0.94620755]
[ 0.  1.]
[ 0.09072917  0.90927083]
[ 0.06379585  0.93620415]
[ 0.443  0.557]
[ 0.8605  0.1395]
[ 0.6255  0.3745]
[ 0.05379245  0.94620755]
[ 0.491  0.509]
[ 0.7875  0.2125]
[ 0.7575  0.2425]
[ 0.9265  0.0735]
[ 0.72575  0.27425]
[ 0.83875  0.16125]
[ 0.657  0.343]
[ 0.7515  0.2485]
[ 0.03263509  0.96736491]
[ 0.21916667  0.78083333]
[ 0.5365  0.4635]
[ 0.05075  0.94925]
[ 0.938  0.062]
[ 0.4735  0.5265]
[ 0.499  0.501]
[ 0.872  0.128]
[ 0.474  0.526]
[ 0.73514583  0.26485417]
[ 0.362625  0.637375]
[ 0.4835  0.5165]
[ 0.881  0.119]
[ 0.7535  0.2465]
[ 0.6235  0.3765]
[ 0.03263509  0.96736491]
[ 0.831  0.169]
[ 0.34  0.66]
[ 0.7735  0.2265]
[ 0.8265  0.1735]
[ 0.03263509  0.96736491]
[ 0.562  0.438]
[ 0.9575  0.0425]
[ 0.852  0.148]
[ 0.05555556  0.94444444]
[ 0.8735  0.1265]
[ 0.22222222  0.77777778]
[ 0.723  0.277]
[ 0.848  0.152]
[ 0.4475  0.5525]
[ 0.8765  0.1235]
[ 0.03263509  0.96736491]
[ 0.8005  0.1995]
[ 0.6885  0.3115]
[ 0.9335  0.0665]
[ 0.575  0.425]
[ 0.403  0.597]
[ 0.2485  0.7515]
[ 0.8725  0.1275]
[ 0.14285714  0.85714286]
[ 0.661  0.339]
[ 0.489  0.511]
[ 0.8965  0.1035]
[ 0.515  0.485]
[ 0.78  0.22]
[ 0.05379245  0.94620755]
[ 0.751  0.249]
[ 0.09701493  0.90298507]
[ 0.  1.]
[ 0.  1.]
[ 0.858  0.142]
[ 0.5955  0.4045]
[ 0.169625  0.830375]
[ 0.7675  0.2325]
[ 0.9265  0.0735]
[ 0.9265  0.0735]
[ 0.819  0.181]
[ 0.15704167  0.84295833]
[ 0.03263509  0.96736491]
[ 0.03263509  0.96736491]
[ 0.378  0.622]
[ 0.  1.]
[ 0.859  0.141]
[ 0.394375  0.605625]
[ 0.409  0.591]
[ 0.7085  0.2915]
[ 0.03263509  0.96736491]
[ 0.821  0.179]
[ 0.27366667  0.72633333]
[ 0.  1.]
[ 0.8545  0.1455]
[ 0.07894737  0.92105263]
[ 0.6035  0.3965]
[ 0.852  0.148]
[ 0.08333333  0.91666667]
[ 0.8115  0.1885]
[ 0.05050505  0.94949495]
[ 0.661  0.339]
[ 0.17541667  0.82458333]
[ 0.8835  0.1165]
[ 0.38075  0.61925]
[ 0.02489627  0.97510373]
[ 0.07052897  0.92947103]
[ 0.767  0.233]
[ 0.875  0.125]
[ 0.5005  0.4995]
[ 0.4485  0.5515]
[ 0.959  0.041]
[ 0.33563984  0.66436016]
[ 0.9395  0.0605]
[ 0.873  0.127]
[ 0.4475  0.5525]
[ 0.8975  0.1025]
[ 0.6935  0.3065]
[ 0.03263509  0.96736491]
